brand,image,name,new_price,old_price,rating
spigen,"https://bd.daraz.io/BNu-X8zQ645RPIzLt5sdm7tmctI=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/95/1273/1.jpg?2632",Spigen Rugged Armor Case for Samsung Galaxy J2,250.00,380.00,1
Smart Gadgets BD,"https://bd.daraz.io/N8MN-H5xvCXJDReAO9xzW-gTIqo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/35/6801/1.jpg?2013",Sevendays Metallic Case for iphone 7 - Golden,199.00,302.00,1
Huawei,"https://bd.daraz.io/Bi-6pD_IzBM-aLbFrd8146k47vY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/94/183/1.jpg?3926",AP007 13000mAh PowerBank - Grey,"1,725.00","2,400.00",0
Xiaomi,"https://bd.daraz.io/ot4RPkIJUWAAO09wwSAQF3owRqY=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/95/7935/1.jpg?2218",Mi Pocket Speaker 2- Black - Global Version,"1,950.00","2,200.00",1
Xiaomi,"https://bd.daraz.io/6XpJjW6FUqQO41ROHwzPhWOfnbQ=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/06/7935/1.jpg?2217",MiBluetooth Speaker Mini- Grey - Chinese Version,"1,100.00","1,250.00",1
Xiaomi,"https://bd.daraz.io/IdR8wpFfEaMR2wiFmA0D250lokA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/75/7935/1.jpg?3934",Mi Bluetooth Headset Basic - White - Chinese Version,820.00,950.00,1
TP-Link,"https://bd.daraz.io/77MtYLHIAWwxpsYhpKq_l3UZGoA=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/48/9073/1.jpg?0700",TL-PB20100 Ally Series 20100mAh Ultra Compact Power Bank,"2,667.00","2,990.00",0
REMAX,"https://bd.daraz.io/EvTuE3sy6M0htwJSd7ttzyPsZgo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/34/7396/1.jpg?6761",32GB Micro SD Memory Card - Black and White,"1,095.00","1,600.00",0
REMAX,"https://bd.daraz.io/Y-kOodtpP5ZUJ9k_CBTwkryRx28=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/54/7396/1.jpg?6761",64GB Class 10 Micro SD Memory Card - Black and Yellow,"2,390.00","3,200.00",0
Sony,"https://bd.daraz.io/EyGvBtgIMI_Vq3KCTMXgQidRZqs=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/37/5396/1.jpg?6756",PRO-HG Duo HX Memory Stick - 32 GB - Black,"1,840.00","2,500.00",0
Sony,"https://bd.daraz.io/3Iq2_F1rb52rtk1kD9md4eSf5F4=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/17/5396/1.jpg?6759",PRO-HG Duo HX Memory Stick - 16 GB - Black,"1,240.00","1,950.00",0
Xiaomi,"https://bd.daraz.io/qkCWzAYhxGxTcxeFK-R71Kdr_oo=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/16/7935/1.jpg?3196",MiBluetooth Speaker Mini- Gold - Chinese Version,"1,100.00","1,250.00",0
Xiaomi,"https://bd.daraz.io/7KuldTRt1EZQzv3Wvu-GLq7dCIM=/fit-in/220x220/filters:fill(white):sharpen(1,0,false):quality(80)/product/46/7935/1.jpg?2217",Mi Bluetooth Speaker Basic 2 - White - Global Version,"1,750.00","2,100.00",2
